Indus ID,Ref. No,District,Survey  Date,Site Category,Tower Type,Existing no Of Poles,Tower  Config,Tower Height,Normal,EB Phase,EB Availability (Hours),A/C-1(TR),Site  type,DG/NonDG,Static DG-Kva,Static  DG-Make,SMPS 1 Make,SMPS Module Capacity(W),No. of BB Connected to the SMPS,Opco Present,Tenancy,Final Telecom Load (in KW)
IN-1092072,RRL,Ahmednagar,2021-10-25,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,16,NCU,COD,DG,15,Mahindra,Delta,4000,2,Airtel VIL,2,5.3212
IN-1053352,RRL,Raigad,2021-10-25,Natural Cooling with DG,GBT,0,Tubular,50,HUB,3,16,NCU,COD,DG,25,Kirloskar,NexGen Delta,4000,2,Airtel VIL,2,8.42772
IN-1053620,RRL,Osmanabad,2021-10-25,OD with DG,GBT,0,Tubular,50,Hub,3,8,Non AC,OD,DG,15,Mahindra,NexGen Delta,4000,2, Airtel VIL Reliance Jio,3,6.982272
IN-1066434,RRL,Beed,2021-10-25,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,22,NCU,COD,DG,15,Mahindra,Emerson,3200,2,Airtel VIL,2,5.35353
IN-1053869,RRL,Beed,2021-10-25,ID+OD with 3.76TR,GBT,0,Tubular,55,Hub,3,10,3.76,ID AC,DG,25,Mahindra,NexGen Delta,4000,2,Airtel VIL,2,6.721327
IN-1052560,RRL,Sangli,2021-10-25,Natural Cooling with DG,GBT,0,Tubular,40,HUB,3,18,NCU,COD,DG,25,Mahindra,Emerson,3200,2, Airtel VIL Reliance Jio,3,8.8404
IN-1066414,RRL,Akola,2021-10-25,OD with DG,GBT,0,Tubular,50,Hub,3,18,Non AC,OD,DG,15,Kirloskar,Delta,4000,2, Airtel VIL Reliance Jio,3,7.1068
IN-1052656,RRL,Nanded,2021-10-25,OD with DG,GBT,0,Tubular,40,Hub,3,20,Non AC,OD,DG,15,Eicher,Emerson,3200,2,Airtel VIL,2,5.9296
IN-1360210,RRES,Thane,2021-10-25,OD without DG,RTP,4,Tubular,9,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.392344
IN-1093981,RRL,Parbhani,2021-10-26,ID+OD with 3.5TR,GBT,0,Angular,50,Hub,3,18,3.5,ID AC,DG,25,Kirloskar,NexGen Emerson,4000,1, Airtel VIL Reliance Jio,3,8.01468
IN-1093074,RRL,Pune,2021-10-26,OD with DG,GBT,0,Tubular,40,Normal,3,20,Non AC,OD,DG,15,Mahindra,NexGen Emerson,4000,1,Airtel,1,2.64008
IN-1025372,RRL,Pune,2021-10-26,ID+OD with 2TR,RTP,2,Tubular,9,Normal,3,20,2,ID AC,DG,15,Kirloskar,NexGen Emerson,4000,1,Airtel VIL,2,6.61047
IN-1233285,RRL,Ahmednagar,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,16,NCU,COD,DG,15,Mahindra,Emerson,3200,2,Airtel VIL,2,5.39918
IN-1091715,RRL,Ahmednagar,2021-10-26,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,16,NCU,COD,DG,15,Kirloskar,NexGen Emerson,4000,1,Airtel,1,2.1255
IN-1066692,RRL,Amravati,2021-10-26,OD with DG,GBT,0,Tubular,40,Hub,3,18,Non AC,OD,DG,25,Mahindra,Emerson,3200,2,Airtel VIL Reliance Jio BSNL,4,8.85625
IN-1077534,RRL,Ahmednagar,2021-10-26,FCU with DG,GBT,0,Tubular,50,Normal,3,18,FCU,COD,DG,25,Mahindra,NexGen Emerson,4000,2, Airtel VIL Reliance Jio,3,6.318
IN-1052379,RRL,Buldhana,2021-10-26,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,18,NCU,COD,DG,15,Kirloskar,NexGen Emerson,4000,1,Airtel,1,1.5759
IN-1239550,RRL,Ahmednagar,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,IIPMS Delta,4000,2,Airtel,1,1.891231
IN-1053932,RRL,Nashik,2021-10-26,OD with DG,GBT,0,Tubular,55,Normal,3,18,Non AC,OD,DG,25,Eicher,Delta,4000,2,Airtel VIL,2,5.1171
IN-1092259,RRL,Nashik,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Kirloskar,Emerson,3200,2, Airtel VIL Reliance Jio,3,7.01684
IN-1053935,RRL,Ahmednagar,2021-10-26,OD with DG,GBT,0,Tubular,55,Normal,3,10,Non AC,OD,DG,10,Mahindra,NexGen Emerson,4000,1,Airtel Reliance Jio,2,4.43043
IN-1253192,RRL,Beed,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,10,NCU,COD,DG,25,Kirloskar,Delta,4000,2,Airtel VIL Reliance Jio BSNL,4,7.72122
IN-1024388,RRL,Satara,2021-10-26,Natural Cooling with DG,GBT,0,Angular,60,Normal,3,16,NCU,COD,DG,15,Eicher,IIPMS Delta,4000,1,Airtel VIL,2,3.34085
IN-1284912,RRL,Satara,2021-10-26,OD with DG,GBT,0,Angular,40,Normal,3,16,Non AC,OD,DG,15,Ashok Leyland,IIPMS Delta,4000,1,Airtel Reliance Jio,2,4.23378
IN-1053069,RRL,Amravati,2021-10-26,OD with DG,GBT,0,Tubular,40,Hub,3,16,Non AC,OD,DG,25,Mahindra,Delta,4000,2, Airtel VIL Reliance Jio,3,6.6926
IN-1375933,RRL,Thane,2021-10-26,OD without DG,RTP,3,Tubular,6,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,3.274033
IN-1360246,RRL,Thane,2021-10-26,OD without DG,RTP,4,Tubular,6,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.41736
IN-1372836,RRL,Thane,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,3.50935
IN-1349909,RRL,Thane,2021-10-26,OD without DG,RTP,4,Tubular,6,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.887872
IN-1301412,RRL,Thane,2021-10-26,OD without DG,RTP,4,Tubular,9,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,2,Airtel VIL,2,4.19871
IN-1352405,RRL,Thane,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,Airtel VIL,2,4.687
IN-1745314,RRL,Thane,2021-10-26,OD without DG,RTP,2,Tubular,6,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.1333
IN-1322451,RRL,Nagpur,2021-10-26,OD without DG,RTP,3,Tubular,9,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,1,Airtel VIL,2,1.84822
IN-1488955,RRL,Kolhapur,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.21
IN-1091734,RRL,Kolhapur,2021-10-26,OD with DG,GBT,0,Tubular,50,Normal,3,20,Non AC,OD,DG,15,Kirloskar,IIPMS Delta,4000,1,Airtel VIL,2,4.255416
IN-1092153,RRL,Sangli,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,25,Mahindra,Emerson,3200,2, Airtel VIL Reliance Jio,3,6.104
IN-1111426,RRL,Dhule,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,16,NCU,COD,DG,15,Mahindra,NexGen Emerson,4000,1,Airtel VIL,2,1.64208
IN-1052604,RRL,Dhule,2021-10-26,Natural Cooling with DG,GBT,0,Tubular,40,Normal,3,18,NCU,COD,DG,15,Kirloskar,Delta,4000,2,Airtel VIL Reliance Jio BSNL,4,7.616
IN-1387617,RRL,Kolhapur,2021-10-26,OD without DG,GBT,0,Tubular,40,Normal,1,18,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,2.2974
IN-1326062,RRL,Kolhapur,2021-10-26,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,Airtel,1,4.116457
IN-1071319,RRL,Ahmednagar,2021-10-26,OD With DG,GBT,0,Tubular,50,Normal,3,16,Non AC,OD,DG,15,Kirloskar,Emerson,3200,2,Airtel,1,1.629
IN-1066686,RRL,Ahmednagar,2021-10-26,OD With DG,GBT,0,Tubular,40,Normal,3,16,Non AC,OD,DG,15,Eicher,Emerson,3200,1,Airtel,1,2.37184
IN-1066541,RRL,Amravati,2021-10-26,OD with DG,GBT,0,Tubular,40,Normal,3,18,Non AC,OD,DG,25,Mahindra,Delta,4000,2,Airtel VIL,2,5.8206
IN-1053064,RRL,Amravati,2021-10-26,Natural Cooling with DG,GBT,0,Tubular,40,Hub,3,18,NCU,COD,DG,25,Mahindra,Emerson,3200,2, Airtel VIL Reliance Jio,3,8.0154
IN-1270701,RRL,Amravati,2021-10-26,OD with DG,RTT,0,Angular,21,Normal,3,22,Non AC,OD,DG,25,Mahindra,NexGen Emerson,4000,2, Airtel VIL Reliance Jio,3,10.1043
IN-1092001,RRL,Ahmednagar,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Mahindra,NexGen Delta,4000,2, Airtel VIL Reliance Jio,3,7.33995
IN-1809912,RRL,Nashik,2021-10-26,OD without DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,1.38039
IN-1054432,RRL,Dhule,2021-10-26,Natural Cooling with DG,RTT,0,Tubular,21,Hub,3,18,NCU,COD,DG,15,Kirloskar,Delta,4000,2,Airtel VIL,2,5.61512
IN-1377911,RRL,Kolhapur,2021-10-26,OD with DG,GBM,0,Tubular,30,Normal,Non EB,Non EB,Non AC,OD,DG,15,Mahindra,NexGen Emerson,4000,1,Airtel,1,2.1252
IN-1419466,RRL,Kolhapur,2021-10-26,OD without DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.9214
IN-1333571,RRL,Kolhapur,2021-10-26,OD with DG,GBT,0,Angular,50,Normal,3,20,Non AC,OD,DG,15,Kirloskar,NexGen Delta,4000,2,Airtel VIL,2,5.17205
IN-1249879,RRL,Ahmednagar,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,Delta,4000,2,Airtel VIL Reliance Jio BSNL,4,7.7328
IN-1066289,RRL,Ahmednagar,2021-10-26,OD with DG,GBT,0,Tubular,40,Normal,3,18,Non AC,OD,DG,15,Kirloskar,Delta,4000,2, Airtel VIL Reliance Jio,3,8.30695
IN-1053582,RRL,Nashik,2021-10-26,OD with DG,GBT,0,Tubular,50,Hub,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,Airtel BSNL Reliance Jio,3,5.452
IN-1482312,RRL,Ahmednagar,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,8,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,1.555905
IN-1094375,RRL,Ahmednagar,2021-10-26,FCU with DG,GBT,0,Angular,50,Normal,3,10,FCU,COD,DG,15,Mahindra,Emerson,3200,2,Airtel VIL,2,3.83901
IN-1240382,RRL,Beed,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,8,NCU,COD,DG,15,Kirloskar,Emerson,3200,1,Airtel VIL,2,3.44555
IN-1078219,RRL,Satara,2021-10-26,FCU with DG,GBT,0,Tubular,50,Normal,3,16,FCU,COD,DG,25,Mahindra,Delta,4000,2,Airtel VIL Reliance Jio BSNL,4,8.20096
IN-1093403,RRL,Satara,2021-10-26,FCU with DG,GBT,0,Tubular,50,Normal,3,16,FCU,COD,DG,15,Kirloskar,NexGen Emerson,4000,1,Airtel Reliance Jio,2,3.3102
IN-1436718,RRL,Thane,2021-10-26,OD without DG,RTP,2,Tubular,6,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.31855
IN-1390762,RRL,Thane,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.6509
IN-1353790,RRL,Thane,2021-10-26,OD without DG,RTP,3,Tubular,9,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.29568
IN-1367061,RRL,Parbhani,2021-10-26,OD without DG,RTT,0,Angular,12,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,2.818464
IN-1388704,RRL,Parbhani,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,2.295
IN-1368102,RRL,Nagpur,2021-10-26,OD without DG,RTP,2,Tubular,7.5,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.50676
IN-1342338,RRL,Ahmednagar,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,2,Airtel VIL,2,4.722762
IN-1497478,RRL,Kolhapur,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.4796
IN-1448556,RRL,Thane,2021-10-26,OD without DG,RTT,0,Angular,15,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,1.06971
IN-1499559,RRL,Thane,2021-10-26,OD without DG,RTP,3,Tubular,6,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,3.250572
IN-3000334,RRL,Nashik,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.679597
IN-1520136,RRES,Nagpur,2021-10-26,OD without DG,GBM,0,Tubular,24,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.512
IN-1066392,RRL,Solapur,2021-10-26,OD With DG,GBT,0,Tubular,50,Normal,3,18,Non AC,OD,DG,15,Eicher,Delta,4000,1, Airtel VIL Reliance Jio,3,6.848
IN-1093602,RRL,Solapur,2021-10-26,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,18,NCU,COD,DG,15,Kirloskar,NexGen Emerson,4000,1, Airtel VIL Reliance Jio,3,7.6472
IN-1092006,RRL,Solapur,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,16,NCU,COD,DG,15,Mahindra,NexGen Emerson,4000,2, Airtel VIL Reliance Jio,3,6.7208
IN-1078430,RRL,Latur,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Mahindra,Emerson,3200,2, Airtel VIL Reliance Jio,3,6.6066
IN-1078431,RRL,Latur,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,25,Mahindra,Delta,4000,1,Airtel VIL,2,5.299344
IN-1070023,RRL,Latur,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,25,Mahindra,Delta,4000,2, Airtel VIL Reliance Jio,3,7.934186
IN-1243450,RRL,Latur,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Kirloskar,Emerson,3200,1,Airtel Reliance Jio,2,4.84704
IN-1236499,RRL,Parbhani,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Kirloskar,Delta,4000,2, Airtel VIL Reliance Jio,3,5.93408
IN-1236460,RRL,Parbhani,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,15,NCU,COD,DG,25,Mahindra,Emerson,3200,2, Airtel VIL Reliance Jio,3,7.69272
IN-1055512,RRL,Parbhani,2021-10-26,Natural Cooling with DG,RTT,0,Tubular,15,Hub,3,18,NCU,COD,DG,15,Mahindra,IIPMS Delta,4000,1, Airtel VIL Reliance Jio,3,8.3646
IN-1095119,RRL,Parbhani,2021-10-26,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,25,Eicher,NexGen Delta,4000,2, Airtel VIL Reliance Jio,3,7.0652
IN-1278982,RRL,Nagpur,2021-10-26,Natural Cooling without DG,RTT,0,Angular,15,Normal,3,22,NCU,COD,Non DG,Non DG,Non DG,IIPMS Delta,4000,2,Airtel VIL,2,7.6845
IN-1285688,RRL,Nagpur,2021-10-26,OD without DG,GBM,0,Tubular,30,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,2,Airtel VIL BSNL,3,8.2026
IN-1086216,RRL,Kolhapur,2021-10-26,OD with DG,GBT,0,Tubular,50,Normal,3,18,Non AC,OD,DG,15,Mahindra,NexGen Emerson,4000,1,Airtel VIL,2,2.63224
IN-1052883,RRL,Nashik,2021-10-26,OD with DG,GBT,0,Tubular,40,Normal,3,16,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,Airtel Reliance Jio,2,6.0495
IN-1282609,RRL,Thane,2021-10-26,OD with DG,COW,0,Angular,30,Normal,3,20,Non AC,OD,DG,15,Eicher,NexGen Emerson,4000,2,Airtel VIL,2,5.0825
IN-1085670,RRL,Thane,2021-10-26,OD with DG,RTT,0,Angular,15,Normal,3,18,Non AC,OD,DG,15,Kirloskar,IIPMS Delta,4000,2, Airtel VIL Reliance Jio,3,6.246
IN-1054427,RRL,Nashik,2021-10-26,Natural Cooling with DG,RTT,0,Tubular,15,Normal,3,18,NCU,COD,DG,25,Mahindra,Delta,4000,2,Airtel VIL,2,7.9968
IN-1054194,RRL,Thane,2021-10-26,Natural Cooling without DG,RTT,0,Tubular,12,Normal,3,20,NCU,COD,Non DG,Non DG,Non DG,Emerson,3200,1,Airtel VIL,2,2.565
IN-1066403,RRL,Solapur,2021-10-27,OD with DG,GBT,0,Tubular,40,Normal,3,18,Non AC,OD,DG,15,Eicher,NexGen Delta,4000,1,Airtel,1,2.63704
IN-1260305,RRL,Solapur,2021-10-27,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,15,Kirloskar,Emerson,3200,2, Airtel VIL Reliance Jio,3,5.5481
IN-1260311,RRL,Pune City,2021-10-27,OD with DG,GBT,0,Angular,50,Normal,3,20,Non AC,OD,DG,15,Mahindra,Emerson,3200,2, Airtel VIL Reliance Jio,3,6.3666
IN-1269920,RRL,Solapur,2021-10-27,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,Airtel,1,1.917
IN-1483143,RRL,Ratnagiri,2021-10-27,OD without DG,GBT,0,Tubular,40,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.86014
IN-1070040,RRL,Nanded,2021-10-27,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,25,Mahindra,Delta,4000,2, Airtel VIL Reliance Jio,3,6.115934
IN-1327023,RRL,Nashik,2021-10-27,OD without DG,RTT,0,Angular,12,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,Airtel VIL,2,6.7554
IN-1835207,RRL,Nashik,2021-10-27,OD without DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,1.49445
IN-1371686,RRL,Ahmednagar,2021-10-27,OD without DG,GBT,0,Angular,30,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.7658
IN-1305545,RRL,Ahmednagar,2021-10-27,OD without DG,RTT,0,Angular,18,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,2,Airtel VIL,2,5.646656
IN-1352012,RRL,Ahmednagar,2021-10-27,OD without DG,GBM,0,Tubular,30,Normal,3,16,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel VIL,2,5.10963
IN-1333785,RRL,Thane,2021-10-27,OD without DG,RTP,3,Tubular,9,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,4.17144
IN-1360535,RRL,Thane,2021-10-27,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,2,Airtel VIL,2,5.79008
IN-1333904,RRL,Thane,2021-10-27,OD without DG,RTP,4,Tubular,6,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,2, Airtel VIL Reliance Jio,3,7.836928
IN-1490550,RRL,Bhandara,2021-10-27,OD without DG,RTP,3,Tubular,9,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.1934
IN-1093580,RRL,Solapur,2021-10-27,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,16,NCU,COD,DG,15,Eicher,NexGen Emerson,4000,2, Airtel VIL Reliance Jio,3,5.31
IN-1740350,RRL,Bhandara,2021-10-27,OD without DG,GBT,0,Tubular,40,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,1.31592
IN-1310052,RRL,Nagpur,2021-10-27,OD without DG,RTP,4,Tubular,9,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,2,Airtel VIL,2,5.044848
IN-1388315,RRL,Pune,2021-10-27,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.51658
IN-1388319,RRL,Pune,2021-10-27,OD without DG,GBM,0,Tubular,30,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.6166
IN-1382952,RRL,Pune,2021-10-27,OD without DG,GBM,0,Tubular,30,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.40106
IN-1366917,RRL,Sangli,2021-10-27,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,2.566264
IN-1382689,RRL,Amravati,2021-10-27,OD without DG,RTP,2,Tubular,9,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.7387
IN-1368637,RRL,Amravati,2021-10-27,OD without DG,RTP,2,Tubular,9,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,2.54787
IN-1497471,RRL,Sangli,2021-10-27,OD without DG,RTP,3,Tubular,6,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,1.45696
IN-1053776,RRL,Kolhapur,2021-10-27,Natural Cooling with DG,GBT,0,Tubular,50,HUB,3,18,NCU,COD,DG,15,Kirloskar,Delta,4000,1,Airtel,1,3.1236
IN-1300007,RRL,Kolhapur,2021-10-27,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,Airtel VIL,2,4.381571
IN-1249957,RRL,Kolhapur,2021-10-27,FCU with DG,GBT,0,Angular,50,Normal,3,18,FCU,COD,DG,15,Kirloskar,Delta,4000,1,Airtel VIL,2,4.766818
IN-1980245,RRL,Kolhapur,2021-10-27,OD without DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.324295
IN-1111423,RRL,Nashik,2021-10-27,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,Delta,4000,2,Airtel Reliance Jio,2,4.33238
IN-1242111,RRL,Nashik,2021-10-27,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Kirloskar,Delta,4000,2, Airtel VIL Reliance Jio,3,6.14943
IN-1052915,RRL,Nashik,2021-10-27,Natural Cooling with DG,GBT,0,Tubular,40,Hub,3,18,NCU,COD,DG,15,Kirloskar,NexGen Delta,4000,1,Airtel,1,2.1935
IN-1053043,RRL,Ahmednagar,2021-10-27,Natural Cooling with DG,GBT,0,Tubular,40,Hub,3,16,NCU,COD,DG,25,Eicher,Delta,4000,1,Airtel VIL,2,6.31655
IN-1106033,RRL,Beed,2021-10-27,Natural Cooling with DG,GBT,0,Angular,50,Hub,3,8,NCU,COD,DG,25,Kirloskar,Delta,4000,2,Airtel VIL Reliance Jio BSNL,4,8.433088
IN-1066416,RRL,Dhule,2021-10-27,Natural Cooling with DG,GBT,0,Tubular,40,Normal,3,16,NCU,COD,DG,15,Mahindra,NexGen Delta,4000,1,Airtel,1,1.897
IN-1091645,RRL,Thane,2021-10-27,Natural Cooling with DG,RTP,4,Tubular,6,Normal,3,18,NCU,COD,DG,25,Kirloskar,NexGen Delta,4000,2,Airtel VIL,2,5.54344
IN-1300680,RRL,Chandrapur,2021-10-27,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1, Airtel VIL Reliance Jio,3,7.01046
IN-3002083,RRL,Chandrapur,2021-10-27,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.604468
IN-1389256,RRL,Thane,2021-10-27,OD without DG,GBT,0,Tubular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,3.5136
IN-1419147,RRL,Thane,2021-10-27,OD without DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.322
IN-1675616,RRL,Thane,2021-10-27,OD without DG,RTP,3,Tubular,9,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,0.9214
IN-1377798,RRL,Beed,2021-10-27,OD without DG,GBM,0,Tubular,30,Normal,1,12,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.5427
IN-1094444,RRL,Nanded,2021-10-27,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,22,NCU,COD,DG,15,Eicher,Delta,4000,2, Airtel VIL Reliance Jio,3,4.73605
IN-1086215,RRL,Nanded,2021-10-27,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,20,NCU,COD,DG,25,Eicher,NexGen Emerson,4000,1, Airtel VIL Reliance Jio,3,5.28339
IN-1066522,RRL,Bhandara,2021-10-27,OD with DG,GBT,0,Tubular,50,Hub,3,20,Non AC,OD,DG,15,Eicher,Delta,4000,1,Airtel VIL,2,5.3082
IN-1124606,RRL,Nagpur,2021-10-27,OD with DG,RTP,3,Tubular,6,Normal,3,22,Non AC,OD,DG,25,Kirloskar,Delta,4000,2,Airtel VIL,2,7.4883
IN-1052918,RRL,Satara,2021-10-27,Natural Cooling with DG,GBT,0,Tubular,40,Normal,3,16,NCU,COD,DG,25,Kirloskar,NexGen Emerson,4000,1,Airtel VIL,2,4.96938
